,control_category,control_code,control_name,document,control_text_corrected,full_control_text
670,risk assessment,RA-02,security categorization,fedramp,"a. Categorize the system and information it processes, stores, and transmits.
b. Document the security categorization results, including supporting rationale, in the security plan for the system.
c. Verify that the authorizing official or the authorizing official designated representative reviews and approves the security categorization decision.
Security categories describe the potential adverse impacts or negative consequences to organizational operations, organizational assets, and individuals if organizational information and systems are compromised through a loss of confidentiality, integrity, or availability. Security categorization is also a type of asset loss characterization in systems security engineering processes that is carried out throughout the system development life cycle. Organizations can use privacy risk assessments or privacy impact assessments to better understand the potential adverse effects on individuals. CNSSI 1253 provides additional guidance on categorization for national security systems.
Organizations conduct the security categorization process as an organization-wide activity with the direct involvement of Chief Information Officers, Senior Agency Information Security Officers, Senior Agency Officials for Privacy, system owners, mission and business owners, and information owners or stewards. Organizations consider the potential adverse impacts to other organizations and, in accordance with USA PATRIOT and Homeland Security Presidential Directives, potential national-level adverse impacts.
Security categorization processes facilitate the development of inventories of information assets and, along with CM-8, mappings to specific system components where information is processed, stored, or transmitted. The security categorization process is revisited throughout the system development life cycle to ensure that the security categories remain accurate and relevant.","Risk assessment. Security categorization. a. Categorize the system and information it processes, stores, and transmits.
b. Document the security categorization results, including supporting rationale, in the security plan for the system.
c. Verify that the authorizing official or the authorizing official designated representative reviews and approves the security categorization decision.
Security categories describe the potential adverse impacts or negative consequences to organizational operations, organizational assets, and individuals if organizational information and systems are compromised through a loss of confidentiality, integrity, or availability. Security categorization is also a type of asset loss characterization in systems security engineering processes that is carried out throughout the system development life cycle. Organizations can use privacy risk assessments or privacy impact assessments to better understand the potential adverse effects on individuals. CNSSI 1253 provides additional guidance on categorization for national security systems.
Organizations conduct the security categorization process as an organization-wide activity with the direct involvement of Chief Information Officers, Senior Agency Information Security Officers, Senior Agency Officials for Privacy, system owners, mission and business owners, and information owners or stewards. Organizations consider the potential adverse impacts to other organizations and, in accordance with USA PATRIOT and Homeland Security Presidential Directives, potential national-level adverse impacts.
Security categorization processes facilitate the development of inventories of information assets and, along with CM-8, mappings to specific system components where information is processed, stored, or transmitted. The security categorization process is revisited throughout the system development life cycle to ensure that the security categories remain accurate and relevant."
671,risk assessment,RA-03,risk assessment,fedramp,"A. Conduct a risk assessment, including: 1. identifying threats to and vulnerabilities in the system; 2. determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information. B. Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments. C. Document risk assessment results in [selection: security and privacy plans; risk assessment report; [assignment: organization-defined document]]. D. Review risk assessment results [assignment: organization-defined frequency]. E. Disseminate risk assessment results to [assignment: organization-defined personnel or roles]. F. Update the risk assessment [assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system. Risk assessments consider threats, vulnerabilities, likelihood, and impact to organizational operations and assets, individuals, other organizations, and the nation. Risk assessments also consider risk from external parties, including contractors who operate systems on behalf of the organization, individuals who access organizational systems, service providers, and outsourcing entities. Organizations can conduct risk assessments at all three levels in the risk management hierarchy (i.e., organization level, mission/business process level, or information system level) and at any stage in the system development life cycle. Risk assessments can also be conducted at various steps in the risk management framework, including preparation, categorization, control selection, control implementation, control assessment, authorization, and control monitoring. Risk assessment is an ongoing activity carried out throughout the system development life cycle. Risk assessments can also address information related to the system, including system design, the intended use of the system, testing results, and supply chain-related information or artifacts. Risk assessments can play an important role in control selection processes, particularly during the application of tailoring guidance and in the earliest phases of capability determination.","Risk assessment. Risk assessment. A. Conduct a risk assessment, including: 1. identifying threats to and vulnerabilities in the system; 2. determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information. B. Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments. C. Document risk assessment results in [selection: security and privacy plans; risk assessment report; [assignment: organization-defined document]]. D. Review risk assessment results [assignment: organization-defined frequency]. E. Disseminate risk assessment results to [assignment: organization-defined personnel or roles]. F. Update the risk assessment [assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system. Risk assessments consider threats, vulnerabilities, likelihood, and impact to organizational operations and assets, individuals, other organizations, and the nation. Risk assessments also consider risk from external parties, including contractors who operate systems on behalf of the organization, individuals who access organizational systems, service providers, and outsourcing entities. Organizations can conduct risk assessments at all three levels in the risk management hierarchy (i.e., organization level, mission/business process level, or information system level) and at any stage in the system development life cycle. Risk assessments can also be conducted at various steps in the risk management framework, including preparation, categorization, control selection, control implementation, control assessment, authorization, and control monitoring. Risk assessment is an ongoing activity carried out throughout the system development life cycle. Risk assessments can also address information related to the system, including system design, the intended use of the system, testing results, and supply chain-related information or artifacts. Risk assessments can play an important role in control selection processes, particularly during the application of tailoring guidance and in the earliest phases of capability determination."
672,risk assessment,RA-03 (01),risk assessment | supply chain risk assessment,fedramp,"(a) Assess supply chain risks associated with [assignment: organization-defined systems, system components, and system services]; and (b) update the supply chain risk assessment [assignment: organization-defined frequency], when there are significant changes to the relevant supply chain or when changes to the system, environments of operation, or other conditions may necessitate a change in the supply chain. Supply chain-related events include disruption, use of defective components, insertion of counterfeits, theft, malicious development practices, improper delivery practices, and insertion of malicious code. These events can have a significant impact on the confidentiality, integrity, or availability of a system and its information and therefore can also adversely impact organizational operations (including mission, functions, image, or reputation), organizational assets, individuals, other organizations, and the nation. The supply chain-related events may be unintentional or malicious and can occur at any point during the system life cycle. An analysis of supply chain risk can help an organization identify systems or components for which additional supply chain risk mitigations are required.","Risk assessment. Risk assessment | supply chain risk assessment. (a) Assess supply chain risks associated with [assignment: organization-defined systems, system components, and system services]; and (b) update the supply chain risk assessment [assignment: organization-defined frequency], when there are significant changes to the relevant supply chain or when changes to the system, environments of operation, or other conditions may necessitate a change in the supply chain. Supply chain-related events include disruption, use of defective components, insertion of counterfeits, theft, malicious development practices, improper delivery practices, and insertion of malicious code. These events can have a significant impact on the confidentiality, integrity, or availability of a system and its information and therefore can also adversely impact organizational operations (including mission, functions, image, or reputation), organizational assets, individuals, other organizations, and the nation. The supply chain-related events may be unintentional or malicious and can occur at any point during the system life cycle. An analysis of supply chain risk can help an organization identify systems or components for which additional supply chain risk mitigations are required."
673,risk assessment,RA-05,vulnerability monitoring and scanning,fedramp,"a. Monitor and scan for vulnerabilities in the system and hosted applications. [Assignment: Organization-defined frequency and/or randomly in accordance with organization-defined process]. When new vulnerabilities potentially affecting the system are identified and reported.
b. Employ vulnerability monitoring tools and techniques that facilitate interoperability among tools and automate parts of the vulnerability management process. Use standards for: 
1. Enumerating platforms, software flaws, and improper configurations.
2. Formatting checklists and test procedures.
3. Measuring vulnerability impact.
c. Analyze vulnerability scan reports and results from vulnerability monitoring.
d. Remediate legitimate vulnerabilities. [Assignment: Organization-defined response times]. In accordance with an organizational assessment of risk.
e. Share information obtained from the vulnerability monitoring process and control assessments with [Assignment: Organization-defined personnel or roles] to help eliminate similar vulnerabilities in other systems.
f. Employ vulnerability monitoring tools that include the capability to readily update the vulnerabilities to be scanned. 

The security categorization of information and systems guides the frequency and comprehensiveness of vulnerability monitoring (including scans). Organizations determine the required vulnerability monitoring for system components, ensuring that the potential sources of vulnerabilities such as infrastructure components (e.g., switches, routers, guards, sensors), networked printers, scanners, and copiers are not overlooked. The capability to readily update vulnerability monitoring tools as new vulnerabilities are discovered and announced and as new scanning methods are developed helps to ensure that new vulnerabilities are not missed by employed vulnerability monitoring tools. The vulnerability monitoring tool update process helps to ensure that potential vulnerabilities in the system are identified and addressed as quickly as possible. Vulnerability monitoring and analyses for custom software may require additional approaches such as static analysis, dynamic analysis, binary analysis, or a hybrid of the three approaches. Organizations can use these analysis approaches in source code reviews and in a variety of tools including web-based application scanners, static analysis tools, and binary analyzers. Vulnerability monitoring includes scanning for patch levels, scanning for functions, ports, protocols, and services that should not be accessible to users or devices, and scanning for flow control mechanisms that are improperly configured or operating incorrectly. Vulnerability monitoring may also include continuous vulnerability monitoring tools that use instrumentation to continuously analyze components. Instrumentation-based tools may improve accuracy and may be run throughout an organization without scanning. Vulnerability monitoring tools that facilitate interoperability include tools that are Security Content Automated Protocol (SCAP)-validated. Thus, organizations consider using scanning tools that express vulnerabilities in the Common Vulnerabilities and Exposures (CVE) naming convention and that employ the Open Vulnerability Assessment Language (OVAL) to determine the presence of vulnerabilities. Sources for vulnerability information include the Common Weakness Enumeration (CWE) listing and the National Vulnerability Database (NVD). Control assessments such as red team exercises provide additional sources of potential vulnerabilities for which to scan. Organizations also consider using scanning tools that express vulnerability impact by the Common Vulnerability Scoring System (CVSS). Vulnerability monitoring includes a channel and process for receiving reports of security vulnerabilities from the public at-large. Vulnerability disclosure programs can be as simple as publishing a monitored email address or web form that can receive reports, including notification authorizing good-faith research and disclosure of security vulnerabilities. Organizations generally expect that such research is happening with or without their authorization and can use public vulnerability disclosure channels to increase the likelihood that discovered vulnerabilities are reported directly to the organization for remediation. Organizations may also employ the use of financial incentives (also known as bug bounties) to further encourage external security researchers to report discovered vulnerabilities. Bug bounty programs can be tailored to the organization’s needs. Bounties can be operated indefinitely or over a defined period of time and can be offered to the general public or to a curated group. Organizations may run public and private bounties simultaneously and could choose to offer partially credentialed access to certain participants in order to evaluate security vulnerabilities from privileged vantage points.","Risk assessment. Vulnerability monitoring and scanning. a. Monitor and scan for vulnerabilities in the system and hosted applications. [Assignment: Organization-defined frequency and/or randomly in accordance with organization-defined process]. When new vulnerabilities potentially affecting the system are identified and reported.
b. Employ vulnerability monitoring tools and techniques that facilitate interoperability among tools and automate parts of the vulnerability management process. Use standards for: 
1. Enumerating platforms, software flaws, and improper configurations.
2. Formatting checklists and test procedures.
3. Measuring vulnerability impact.
c. Analyze vulnerability scan reports and results from vulnerability monitoring.
d. Remediate legitimate vulnerabilities. [Assignment: Organization-defined response times]. In accordance with an organizational assessment of risk.
e. Share information obtained from the vulnerability monitoring process and control assessments with [Assignment: Organization-defined personnel or roles] to help eliminate similar vulnerabilities in other systems.
f. Employ vulnerability monitoring tools that include the capability to readily update the vulnerabilities to be scanned. 

The security categorization of information and systems guides the frequency and comprehensiveness of vulnerability monitoring (including scans). Organizations determine the required vulnerability monitoring for system components, ensuring that the potential sources of vulnerabilities such as infrastructure components (e.g., switches, routers, guards, sensors), networked printers, scanners, and copiers are not overlooked. The capability to readily update vulnerability monitoring tools as new vulnerabilities are discovered and announced and as new scanning methods are developed helps to ensure that new vulnerabilities are not missed by employed vulnerability monitoring tools. The vulnerability monitoring tool update process helps to ensure that potential vulnerabilities in the system are identified and addressed as quickly as possible. Vulnerability monitoring and analyses for custom software may require additional approaches such as static analysis, dynamic analysis, binary analysis, or a hybrid of the three approaches. Organizations can use these analysis approaches in source code reviews and in a variety of tools including web-based application scanners, static analysis tools, and binary analyzers. Vulnerability monitoring includes scanning for patch levels, scanning for functions, ports, protocols, and services that should not be accessible to users or devices, and scanning for flow control mechanisms that are improperly configured or operating incorrectly. Vulnerability monitoring may also include continuous vulnerability monitoring tools that use instrumentation to continuously analyze components. Instrumentation-based tools may improve accuracy and may be run throughout an organization without scanning. Vulnerability monitoring tools that facilitate interoperability include tools that are Security Content Automated Protocol (SCAP)-validated. Thus, organizations consider using scanning tools that express vulnerabilities in the Common Vulnerabilities and Exposures (CVE) naming convention and that employ the Open Vulnerability Assessment Language (OVAL) to determine the presence of vulnerabilities. Sources for vulnerability information include the Common Weakness Enumeration (CWE) listing and the National Vulnerability Database (NVD). Control assessments such as red team exercises provide additional sources of potential vulnerabilities for which to scan. Organizations also consider using scanning tools that express vulnerability impact by the Common Vulnerability Scoring System (CVSS). Vulnerability monitoring includes a channel and process for receiving reports of security vulnerabilities from the public at-large. Vulnerability disclosure programs can be as simple as publishing a monitored email address or web form that can receive reports, including notification authorizing good-faith research and disclosure of security vulnerabilities. Organizations generally expect that such research is happening with or without their authorization and can use public vulnerability disclosure channels to increase the likelihood that discovered vulnerabilities are reported directly to the organization for remediation. Organizations may also employ the use of financial incentives (also known as bug bounties) to further encourage external security researchers to report discovered vulnerabilities. Bug bounty programs can be tailored to the organization’s needs. Bounties can be operated indefinitely or over a defined period of time and can be offered to the general public or to a curated group. Organizations may run public and private bounties simultaneously and could choose to offer partially credentialed access to certain participants in order to evaluate security vulnerabilities from privileged vantage points."
674,risk assessment,RA-05 (02),vulnerability monitoring and scanning | update vulnerabilities to be scanned,fedramp,"Update the system vulnerabilities to be scanned [selection (one or more): [assignment: organization-defined frequency]; prior to a new scan; when new vulnerabilities are identified and reported]. Due to the complexity of modern software, systems, and other factors, new vulnerabilities are discovered on a regular basis. It is important that newly discovered vulnerabilities are added to the list of vulnerabilities to be scanned to ensure that the organization can take steps to mitigate those vulnerabilities in a timely manner.","Risk assessment. Vulnerability monitoring and scanning | update vulnerabilities to be scanned. Update the system vulnerabilities to be scanned [selection (one or more): [assignment: organization-defined frequency]; prior to a new scan; when new vulnerabilities are identified and reported]. Due to the complexity of modern software, systems, and other factors, new vulnerabilities are discovered on a regular basis. It is important that newly discovered vulnerabilities are added to the list of vulnerabilities to be scanned to ensure that the organization can take steps to mitigate those vulnerabilities in a timely manner."
675,risk assessment,RA-05 (03),vulnerability monitoring and scanning | breadth and depth of coverage,fedramp,"Define the breadth and depth of vulnerability scanning coverage. The breadth of vulnerability scanning coverage can be expressed as a percentage of components within the system, by the particular types of systems, by the criticality of systems, or by the number of vulnerabilities to be checked. Conversely, the depth of vulnerability scanning coverage can be expressed as the level of the system design that the organization intends to monitor (e.g., component, module, subsystem, element). Organizations can determine the sufficiency of vulnerability scanning coverage with regard to its risk tolerance and other factors. Scanning tools and how the tools are configured may affect the depth and coverage. Multiple scanning tools may be needed to achieve the desired depth and coverage. SP 800-53a provides additional information on the breadth and depth of coverage.","Risk assessment. Vulnerability monitoring and scanning | breadth and depth of coverage. Define the breadth and depth of vulnerability scanning coverage. The breadth of vulnerability scanning coverage can be expressed as a percentage of components within the system, by the particular types of systems, by the criticality of systems, or by the number of vulnerabilities to be checked. Conversely, the depth of vulnerability scanning coverage can be expressed as the level of the system design that the organization intends to monitor (e.g., component, module, subsystem, element). Organizations can determine the sufficiency of vulnerability scanning coverage with regard to its risk tolerance and other factors. Scanning tools and how the tools are configured may affect the depth and coverage. Multiple scanning tools may be needed to achieve the desired depth and coverage. SP 800-53a provides additional information on the breadth and depth of coverage."
676,risk assessment,RA-05 (04),vulnerability monitoring and scanning | discoverable information,fedramp,"Determine information about the system that is discoverable and take [assignment: organization-defined corrective actions]. Discoverable information includes information that adversaries could obtain without compromising or breaching the system, such as by collecting information that the system is exposing or by conducting extensive web searches. Corrective actions include notifying appropriate organizational personnel, removing designated information, or changing the system to make the designated information less relevant or attractive to adversaries. This enhancement excludes intentionally discoverable information that may be part of a decoy capability (e.g., honeypots, honeynets, or deception nets) deployed by the organization.","Risk assessment. Vulnerability monitoring and scanning | discoverable information. Determine information about the system that is discoverable and take [assignment: organization-defined corrective actions]. Discoverable information includes information that adversaries could obtain without compromising or breaching the system, such as by collecting information that the system is exposing or by conducting extensive web searches. Corrective actions include notifying appropriate organizational personnel, removing designated information, or changing the system to make the designated information less relevant or attractive to adversaries. This enhancement excludes intentionally discoverable information that may be part of a decoy capability (e.g., honeypots, honeynets, or deception nets) deployed by the organization."
677,risk assessment,RA-05 (05),vulnerability monitoring and scanning | privileged access,fedramp,"Implement privileged access authorization to [assignment: organization-defined system components] for [assignment: organization-defined vulnerability scanning activities]. In certain situations, the nature of the vulnerability scanning may be more intrusive, or the system component that is the subject of the scanning may contain classified or controlled unclassified information, such as personally identifiable information. Privileged access authorization to selected system components facilitates more thorough vulnerability scanning and protects the sensitive nature of such scanning.","Risk assessment. Vulnerability monitoring and scanning | privileged access. Implement privileged access authorization to [assignment: organization-defined system components] for [assignment: organization-defined vulnerability scanning activities]. In certain situations, the nature of the vulnerability scanning may be more intrusive, or the system component that is the subject of the scanning may contain classified or controlled unclassified information, such as personally identifiable information. Privileged access authorization to selected system components facilitates more thorough vulnerability scanning and protects the sensitive nature of such scanning."
678,risk assessment,RA-05 (08),vulnerability monitoring and scanning | review historic audit logs,fedramp,"Review historic audit logs to determine if a vulnerability identified in an organization-defined system has been previously exploited within an organization-defined time period. Reviewing historic audit logs to determine if a recently detected vulnerability in a system has been previously exploited by an adversary can provide important information for forensic analyses. Such analyses can help identify, for example, the extent of a previous intrusion, the tradecraft employed during the attack, organizational information exfiltrated or modified, mission or business capabilities affected, and the duration of the attack.","Risk assessment. Vulnerability monitoring and scanning | review historic audit logs. Review historic audit logs to determine if a vulnerability identified in an organization-defined system has been previously exploited within an organization-defined time period. Reviewing historic audit logs to determine if a recently detected vulnerability in a system has been previously exploited by an adversary can provide important information for forensic analyses. Such analyses can help identify, for example, the extent of a previous intrusion, the tradecraft employed during the attack, organizational information exfiltrated or modified, mission or business capabilities affected, and the duration of the attack."
679,risk assessment,RA-05 (11),vulnerability monitoring and scanning | public disclosure program,fedramp,"Establish a public reporting channel for receiving reports of vulnerabilities in organizational systems and system components. The reporting channel is publicly discoverable and contains clear language authorizing good-faith research and the disclosure of vulnerabilities to the organization. The organization does not condition its authorization on an expectation of indefinite non-disclosure to the public by the reporting entity. However, the organization may request a specific time period to properly remediate the vulnerability.","Risk assessment. Vulnerability monitoring and scanning | public disclosure program. Establish a public reporting channel for receiving reports of vulnerabilities in organizational systems and system components. The reporting channel is publicly discoverable and contains clear language authorizing good-faith research and the disclosure of vulnerabilities to the organization. The organization does not condition its authorization on an expectation of indefinite non-disclosure to the public by the reporting entity. However, the organization may request a specific time period to properly remediate the vulnerability."
680,risk assessment,RA-07,risk response,fedramp,"Respond to findings from security and privacy assessments, monitoring, and audits in accordance with organizational risk tolerance. Organizations have many options for responding to risk, including mitigating risk by implementing new controls or strengthening existing controls, accepting risk with appropriate justification or rationale, sharing or transferring risk, or avoiding risk. The risk tolerance of the organization influences risk response decisions and actions. Risk response addresses the need to determine an appropriate response to risk before generating a Plan of Action and Milestones (POA&M) entry. For example, the response may be to accept risk or reject risk, or it may be possible to mitigate the risk immediately so that a POA&M entry is not needed. However, if the risk response is to mitigate the risk and the mitigation cannot be completed immediately, a POA&M entry is generated.","Risk assessment. Risk response. Respond to findings from security and privacy assessments, monitoring, and audits in accordance with organizational risk tolerance. Organizations have many options for responding to risk, including mitigating risk by implementing new controls or strengthening existing controls, accepting risk with appropriate justification or rationale, sharing or transferring risk, or avoiding risk. The risk tolerance of the organization influences risk response decisions and actions. Risk response addresses the need to determine an appropriate response to risk before generating a Plan of Action and Milestones (POA&M) entry. For example, the response may be to accept risk or reject risk, or it may be possible to mitigate the risk immediately so that a POA&M entry is not needed. However, if the risk response is to mitigate the risk and the mitigation cannot be completed immediately, a POA&M entry is generated."
681,risk assessment,RA-09,criticality analysis,fedramp,"Identify critical system components and functions by performing a criticality analysis for organization-defined systems, system components, or system services at organization-defined decision points in the system development life cycle. Not all system components, functions, or services necessarily require significant protections. For example, criticality analysis is a key tenet of supply chain risk management and informs the prioritization of protection activities.

The identification of critical system components and functions considers applicable laws, executive orders, regulations, directives, policies, standards, system functionality requirements, system and component interfaces, and system and component dependencies. Systems engineers conduct a functional decomposition of a system to identify mission-critical functions and components.

The functional decomposition includes the identification of organizational missions supported by the system, decomposition into the specific functions to perform those missions, and traceability to the hardware, software, and firmware components that implement those functions, including when the functions are shared by many components within and external to the system.

The operational environment of a system or a system component may impact the criticality, including the connections to and dependencies on cyber-physical systems, devices, system-of-systems, and outsourced IT services. System components that allow unmediated access to critical system components or functions are considered critical due to the inherent vulnerabilities that such components create.

Component and function criticality are assessed in terms of the impact of a component or function failure on the organizational missions that are supported by the system that contains the components and functions. Criticality analysis is performed when an architecture or design is being developed, modified, or upgraded. If such analysis is performed early in the system development life cycle, organizations may be able to modify the system design to reduce the critical nature of these components and functions, such as by adding redundancy or alternate paths into the system design.

Criticality analysis can also influence the protection measures required by development contractors. In addition to criticality analysis for systems, system components, and system services, criticality analysis of information is an important consideration. Such analysis is conducted as part of security categorization in RA-2.","Risk assessment. Criticality analysis. Identify critical system components and functions by performing a criticality analysis for organization-defined systems, system components, or system services at organization-defined decision points in the system development life cycle. Not all system components, functions, or services necessarily require significant protections. For example, criticality analysis is a key tenet of supply chain risk management and informs the prioritization of protection activities.

The identification of critical system components and functions considers applicable laws, executive orders, regulations, directives, policies, standards, system functionality requirements, system and component interfaces, and system and component dependencies. Systems engineers conduct a functional decomposition of a system to identify mission-critical functions and components.

The functional decomposition includes the identification of organizational missions supported by the system, decomposition into the specific functions to perform those missions, and traceability to the hardware, software, and firmware components that implement those functions, including when the functions are shared by many components within and external to the system.

The operational environment of a system or a system component may impact the criticality, including the connections to and dependencies on cyber-physical systems, devices, system-of-systems, and outsourced IT services. System components that allow unmediated access to critical system components or functions are considered critical due to the inherent vulnerabilities that such components create.

Component and function criticality are assessed in terms of the impact of a component or function failure on the organizational missions that are supported by the system that contains the components and functions. Criticality analysis is performed when an architecture or design is being developed, modified, or upgraded. If such analysis is performed early in the system development life cycle, organizations may be able to modify the system design to reduce the critical nature of these components and functions, such as by adding redundancy or alternate paths into the system design.

Criticality analysis can also influence the protection measures required by development contractors. In addition to criticality analysis for systems, system components, and system services, criticality analysis of information is an important consideration. Such analysis is conducted as part of security categorization in RA-2."
682,system and services acquisition,SA-01,policy and procedures,fedramp,"a. Develop, document, and disseminate to [assignment: organization-defined personnel or roles]: 
1. [Selection (one or more): organization-level; mission/business process-level; system-level] system and services acquisition policy that: 
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. 
2. Procedures to facilitate the implementation of the system and services acquisition policy and the associated system and services acquisition controls. 

b. Designate an [assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and services acquisition policy and procedures. 

c. Review and update the current system and services acquisition: 
1. Policy [assignment: organization-defined frequency] and following [assignment: organization-defined events]. 
2. Procedures [assignment: organization-defined frequency] and following [assignment: organization-defined events]. 

System and services acquisition policy and procedures address the controls in the SA family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of system and services acquisition policy and procedures. 

Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. 

Events that may precipitate an update to system and services acquisition policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","System and services acquisition. Policy and procedures. a. Develop, document, and disseminate to [assignment: organization-defined personnel or roles]: 
1. [Selection (one or more): organization-level; mission/business process-level; system-level] system and services acquisition policy that: 
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. 
2. Procedures to facilitate the implementation of the system and services acquisition policy and the associated system and services acquisition controls. 

b. Designate an [assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and services acquisition policy and procedures. 

c. Review and update the current system and services acquisition: 
1. Policy [assignment: organization-defined frequency] and following [assignment: organization-defined events]. 
2. Procedures [assignment: organization-defined frequency] and following [assignment: organization-defined events]. 

System and services acquisition policy and procedures address the controls in the SA family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of system and services acquisition policy and procedures. 

Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. 

Events that may precipitate an update to system and services acquisition policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure."
683,system and services acquisition,SA-02,allocation of resources,fedramp,"A. Determine the high-level information security and privacy requirements for the system or system service in mission and business process planning. 
B. Determine, document, and allocate the resources required to protect the system or system service as part of the organizational capital planning and investment control process. 
C. Establish a discrete line item for information security and privacy in organizational programming and budgeting documentation.

Resource allocation for information security and privacy includes funding for system and services acquisition, sustainment, and supply chain-related risks throughout the system development life cycle.","System and services acquisition. Allocation of resources. A. Determine the high-level information security and privacy requirements for the system or system service in mission and business process planning. 
B. Determine, document, and allocate the resources required to protect the system or system service as part of the organizational capital planning and investment control process. 
C. Establish a discrete line item for information security and privacy in organizational programming and budgeting documentation.

Resource allocation for information security and privacy includes funding for system and services acquisition, sustainment, and supply chain-related risks throughout the system development life cycle."
